Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
209117_HY55YBGXT_TCDM_1_G11_A20_2_3_o_GGCCAA_S87_R1_001	6026060.0	63.0	4000487.0	66.39	63.07	279792.0	269937.0	275806.0	3668.0	217.0	101.0	0.69	0.03	1.96	0.02	1.91	194529.0	3.23	25097.0	0.42	0.08	26.07	3.83	4819	1570415	230713
209118_HY55YBGXT_TCDM_1_H11_C14_2_2_i_AGACCA_S88_R1_001	7858410.0	68.0	5660763.0	72.03	68.88	370092.0	355424.0	364255.0	5566.0	125.0	146.0	0.58	0.03	2.02	0.02	1.74	202567.0	2.58	23878.0	0.3	0.21	22.0	2.87	16505	1729125	225572
209119_HY55YBGXT_TCDM_1_A12_C14_2_3_o_CGCGGA_S89_R1_001	7639630.0	65.0	6123356.0	80.15	65.89	320074.0	307756.0	315697.0	4100.0	103.0	174.0	0.5	0.03	2.14	0.02	1.74	197031.0	2.58	17035.0	0.22	0.11	15.04	1.89	8406	1149367	144435
209120_HY55YBGXT_TCDM_1_B12_C17_2_2_i_CCTGCT_S90_R1_001	6747339.0	64.0	4064410.0	60.24	62.97	291508.0	281323.0	287001.0	4105.0	166.0	236.0	0.57	0.03	2.2	0.02	1.79	192305.0	2.85	20694.0	0.31	0.13	32.96	3.52	8771	2223679	237480
209121_HY55YBGXT_TCDM_1_C12_A03_2_3_o_GCGCTG_S91_R1_001	9328728.0	67.0	7741361.0	82.98	67.44	330699.0	317052.0	326044.0	4286.0	114.0	255.0	0.59	0.04	2.23	0.03	1.69	236884.0	2.54	18650.0	0.2	0.08	12.87	1.33	7461	1200328	124043
209122_HY55YBGXT_TCDM_1_D12_C17_2_3_i_GAACCT_S92_R1_001	3894939.0	63.0	2348091.0	60.29	63.13	190516.0	183177.0	187400.0	2912.0	114.0	90.0	0.57	0.03	2.26	0.02	1.86	117178.0	3.01	22155.0	0.57	0.17	32.64	3.33	6621	1271203	129691
209123_HY55YBGXT_TCDM_1_E12_A03_2_2_o_TTCGAG_S93_R1_001	6112176.0	63.0	4594245.0	75.17	62.98	271686.0	262817.0	267938.0	3428.0	125.0	195.0	0.59	0.04	2.22	0.02	1.77	178826.0	2.93	14968.0	0.24	0.07	19.64	1.95	4279	1200649	119209
209124_HY55YBGXT_TCDM_1_F12_C17_2_2_o_AGAATC_S94_R1_001	7193629.0	65.0	5057783.0	70.31	66.25	331579.0	318774.0	326246.0	4913.0	114.0	306.0	0.56	0.03	2.07	0.02	1.79	177389.0	2.47	25233.0	0.35	0.17	22.78	3.92	12231	1638960	282033
209125_HY55YBGXT_TCDM_1_G12_X8_415_3_i_AGGCAT_S95_R1_001	7297390.0	66.0	5230250.0	71.67	66.38	341522.0	330167.0	336003.0	5172.0	152.0	195.0	0.58	0.03	1.94	0.02	1.73	189417.0	2.6	22354.0	0.31	0.14	22.02	3.27	10214	1606576	238579
209126_HY55YBGXT_TCDM_1_H12_X8_415_3_o_ACACGC_S96_R1_001	8110352.0	63.0	5302774.0	65.38	64.24	325498.0	313275.0	319879.0	5239.0	169.0	211.0	0.62	0.03	1.99	0.02	1.73	247646.0	3.05	39342.0	0.49	0.13	26.93	4.02	10543	2184025	326022
209127_HY5CNBGXT_TCDM_2_A01_X4_46_1_o_CAGCGT_S1_R1_001	4846192.0	68.0	4084686.0	84.29	68.73	128270.0	121850.0	126566.0	1553.0	48.0	103.0	0.57	0.04	2.15	0.03	1.78	114780.0	2.37	7678.0	0.16	0.1	11.71	1.37	4849	567773	66426
209128_HY5CNBGXT_TCDM_2_B01_X8_415_2_i_GATCAC_S2_R1_001	6272988.0	67.0	5760341.0	91.83	67.83	132610.0	127415.0	130719.0	1630.0	54.0	207.0	0.5	0.04	1.96	0.02	1.69	129446.0	2.06	8865.0	0.14	0.07	5.46	0.44	4389	342358	27589
209129_HY5CNBGXT_TCDM_2_C01_X8_415_2_o_ACCAGT_S3_R1_001	5891244.0	68.0	4507842.0	76.52	68.14	213242.0	205521.0	210030.0	2987.0	78.0	147.0	0.59	0.04	1.94	0.02	1.72	147564.0	2.5	14073.0	0.24	0.12	18.15	2.47	7069	1069192	145504
209130_HY5CNBGXT_TCDM_2_D01_X4_46_3_o_TGCACG_S4_R1_001	5851772.0	68.0	4446916.0	75.99	67.84	166833.0	158711.0	164064.0	2531.0	66.0	172.0	0.67	0.05	2.37	0.03	1.66	156360.0	2.67	13750.0	0.23	0.16	16.24	4.71	9359	949895	275493
209131_HY5CNBGXT_TCDM_2_E01_X4_46_1_i_ACATTA_S5_R1_001	6982049.0	68.0	5629740.0	80.63	68.73	240101.0	229145.0	236819.0	3029.0	89.0	164.0	0.61	0.04	2.12	0.03	1.72	173961.0	2.49	15257.0	0.22	0.14	13.64	2.88	9774	952255	201063
209132_HY5CNBGXT_TCDM_2_F01_C14_3_2_o_GTGTAG_S6_R1_001	4606668.0	67.0	4144853.0	89.98	67.1	102223.0	98132.0	100784.0	1296.0	40.0	103.0	0.49	0.04	2.21	0.02	1.76	101506.0	2.2	5292.0	0.11	0.08	7.26	0.37	3684	334296	17037
209133_HY5CNBGXT_TCDM_2_G01_A03_3_1_o_CTAGTC_S7_R1_001	4479451.0	69.0	3863598.0	86.25	69.24	82407.0	78955.0	81245.0	1042.0	38.0	82.0	0.61	0.05	2.28	0.03	1.72	104356.0	2.33	5718.0	0.13	0.1	10.56	0.63	4480	473076	28223
209134_HY5CNBGXT_TCDM_2_H01_A03_3_3_o_TGTGCA_S8_R1_001	6198901.0	68.0	4477966.0	72.24	67.57	141255.0	135531.0	139134.0	1962.0	40.0	119.0	0.65	0.05	2.17	0.03	1.72	194129.0	3.13	9940.0	0.16	0.07	22.43	1.97	4339	1390409	122118
209135_HY5CNBGXT_TCDM_2_A02_X4_32_2_i_TCAGGA_S9_R1_001	5676949.0	68.0	4619842.0	81.38	68.38	92275.0	87694.0	90961.0	1200.0	37.0	77.0	0.57	0.05	2.33	0.03	1.69	135570.0	2.39	6483.0	0.11	0.09	14.37	1.66	5109	815715	94230
209136_HY5CNBGXT_TCDM_2_B02_C14_3_2_i_CGGTTA_S10_R1_001	5618279.0	68.0	4705688.0	83.76	68.46	107478.0	103152.0	105663.0	1677.0	37.0	101.0	0.51	0.04	2.05	0.03	1.73	126666.0	2.25	7709.0	0.14	0.07	12.14	1.65	3930	681641	92645
209137_HY5CNBGXT_TCDM_2_C02_X4_32_3_i_TTAACT_S11_R1_001	4945262.0	68.0	4130732.0	83.53	68.31	78929.0	75181.0	77751.0	1096.0	21.0	61.0	0.56	0.05	2.36	0.03	1.66	114720.0	2.32	5471.0	0.11	0.1	12.37	1.57	4945	611750	77643
209138_HY5CNBGXT_TCDM_2_D02_X4_32_3_o_ATGAAC_S12_R1_001	5235570.0	67.0	4122781.0	78.75	67.15	96257.0	91375.0	94939.0	1192.0	47.0	79.0	0.62	0.06	2.4	0.04	1.72	152087.0	2.9	7978.0	0.15	0.11	14.91	3.18	5758	780501	166465
209139_HY5CNBGXT_TCDM_2_E02_A04_3_2_o_CCTAAG_S13_R1_001	1612326.0	65.0	1434856.0	88.99	65.17	22845.0	21776.0	22535.0	257.0	20.0	33.0	0.63	0.04	1.99	0.03	1.77	34226.0	2.12	2064.0	0.13	0.04	8.25	0.47	645	132961	7575
209140_HY5CNBGXT_TCDM_2_F02_X4_32_1_i_CCGACC_S14_R1_001	4717046.0	71.0	4177720.0	88.57	71.28	65983.0	61718.0	64599.0	1321.0	5.0	58.0	0.55	0.06	2.42	0.03	1.68	87900.0	1.86	2937.0	0.06	0.14	8.72	0.65	6602	411233	30654
209141_HY5CNBGXT_TCDM_2_G02_A04_3_2_i_GGCTGC_S15_R1_001	4631274.0	69.0	4242048.0	91.6	69.72	76370.0	72551.0	75121.0	1145.0	17.0	87.0	0.62	0.05	2.06	0.03	1.67	90141.0	1.95	5902.0	0.13	0.09	5.8	0.44	4168	268635	20379
209142_HY5CNBGXT_TCDM_2_H02_A04_3_1_o_TACCTT_S16_R1_001	5252422.0	68.0	4786683.0	91.13	68.38	107677.0	103378.0	106249.0	1253.0	40.0	135.0	0.6	0.05	2.18	0.03	1.75	103238.0	1.97	6668.0	0.13	0.07	6.36	0.35	3674	333790	18369
209143_HY5CNBGXT_TCDM_2_A03_C14_3_3_o_TCTTAA_S17_R1_001	5067104.0	70.0	4501624.0	88.84	70.5	102147.0	94871.0	100588.0	1403.0	40.0	116.0	0.51	0.04	2.1	0.03	1.98	107700.0	2.13	4468.0	0.09	0.09	8.33	0.53	4558	421909	26844
209144_HY5CNBGXT_TCDM_2_B03_C14_3_1_i_GTCAGG_S18_R1_001	4897974.0	69.0	4503115.0	91.94	69.39	100277.0	95506.0	98819.0	1349.0	21.0	88.0	0.47	0.04	2.11	0.02	1.73	92094.0	1.88	3862.0	0.08	0.09	5.7	0.32	4403	278846	15654
209145_HY5CNBGXT_TCDM_2_C03_A04_3_3_o_ATACTG_S19_R1_001	1322108.0	63.0	1199467.0	90.72	63.81	10895.0	10512.0	10784.0	87.0	6.0	18.0	0.62	0.04	1.98	0.03	1.67	28347.0	2.14	2763.0	0.21	0.02	6.64	0.26	265	87827	3439
209146_HY5CNBGXT_TCDM_2_D03_A27_3_3_i_TATGTC_S20_R1_001	5004208.0	70.0	4534511.0	90.61	70.14	117426.0	111698.0	115720.0	1565.0	40.0	101.0	0.57	0.05	2.83	0.04	1.95	100638.0	2.01	5529.0	0.11	0.08	6.78	0.41	4000	339028	20502
209147_HY5CNBGXT_TCDM_2_E03_C14_3_3_i_GAGTCC_S21_R1_001	130438.0	65.0	90655.0	69.5	65.67	2722.0	2617.0	2683.0	36.0	1.0	2.0	0.61	0.04	2.23	0.03	1.8	3229.0	2.48	248.0	0.19	0.07	25.59	2.17	91	33384	2831
209148_HY5CNBGXT_TCDM_2_F03_A03_3_1_i_GGAGGT_S22_R1_001	2344895.0	66.0	1779368.0	75.88	65.48	59079.0	57220.0	58215.0	777.0	36.0	51.0	0.62	0.04	2.34	0.03	1.72	60679.0	2.59	3208.0	0.14	0.08	19.31	2.0	1876	452860	46904
209149_HY5CNBGXT_TCDM_2_G03_A03_3_3_i_CACACT_S23_R1_001	2435631.0	66.0	2016566.0	82.79	66.24	69356.0	67209.0	68330.0	929.0	19.0	78.0	0.59	0.04	2.32	0.03	1.72	58289.0	2.39	3551.0	0.15	0.1	13.06	1.5	2437	318237	36551
209150_HY5CNBGXT_TCDM_2_H03_X4_32_1_o_CCGCAA_S24_R1_001	5199360.0	69.0	4412718.0	84.87	68.83	122215.0	117696.0	120543.0	1504.0	48.0	120.0	0.57	0.05	2.53	0.03	1.8	120525.0	2.32	5375.0	0.1	0.1	11.82	0.79	5199	614474	41069
209151_HY5CNBGXT_TCDM_2_A04_A04_3_3_i_TTTATG_S25_R1_001	5483402.0	70.0	5088378.0	92.8	70.2	90675.0	84256.0	89291.0	1259.0	35.0	90.0	0.61	0.05	2.04	0.03	1.69	109528.0	2.0	6587.0	0.12	0.07	4.74	0.28	3836	259731	15343
209152_HY5CNBGXT_TCDM_2_B04_X4_32_2_o_AACGCC_S26_R1_001	44508.0	63.0	28331.0	63.65	63.71	860.0	816.0	843.0	16.0	0.0	1.0	0.82	0.05	2.39	0.03	1.79	1371.0	3.08	87.0	0.2	0.11	31.83	1.14	49	14163	507
209153_HY5CNBGXT_TCDM_2_C04_A27_3_1_o_CAAGCA_S27_R1_001	5262870.0	70.0	4801602.0	91.24	70.74	72664.0	67764.0	71745.0	809.0	39.0	71.0	0.57	0.05	2.87	0.04	1.97	108474.0	2.06	5099.0	0.1	0.06	6.11	0.44	3156	321394	23145
209154_HY5CNBGXT_TCDM_2_D04_A27_3_3_o_GCTCGA_S28_R1_001	5131773.0	71.0	4750578.0	92.57	70.98	100158.0	93900.0	98888.0	1161.0	33.0	76.0	0.57	0.05	2.62	0.04	1.9	113842.0	2.22	5062.0	0.1	0.06	4.87	0.19	3074	249484	9733
209155_HY5CNBGXT_TCDM_2_E04_A27_3_2_o_GCGAAT_S29_R1_001	6159796.0	70.0	5503700.0	89.35	70.54	152914.0	143092.0	150770.0	1981.0	58.0	105.0	0.57	0.05	2.54	0.04	1.86	157461.0	2.56	7234.0	0.12	0.07	7.4	0.51	4311	455685	31405
209156_HY5CNBGXT_TCDM_2_F04_X5_66_3_o_TGGATT_S30_R1_001	6285036.0	69.0	5705134.0	90.77	68.99	105781.0	99218.0	104339.0	1243.0	44.0	155.0	0.59	0.05	2.14	0.03	1.85	136404.0	2.17	7662.0	0.12	0.09	6.39	0.45	5660	401875	28301
209157_HY5CNBGXT_TCDM_2_G04_C17_3_1_i_ACCTAC_S31_R1_001	5435944.0	69.0	4241200.0	78.02	69.16	130443.0	124801.0	128339.0	1813.0	67.0	224.0	0.54	0.04	2.11	0.03	1.78	116560.0	2.14	6594.0	0.12	0.12	17.29	2.3	6524	940020	125046
209158_HY5CNBGXT_TCDM_2_H04_C17_3_1_o_CGAAGG_S32_R1_001	6893757.0	69.0	5924037.0	85.93	69.33	151162.0	144289.0	148817.0	1976.0	92.0	277.0	0.51	0.04	2.13	0.03	1.81	146073.0	2.12	9296.0	0.13	0.12	10.89	0.8	8275	750913	55163
209159_HY5CNBGXT_TCDM_2_A05_C17_3_2_i_AGATAG_S33_R1_001	5176132.0	70.0	4469031.0	86.34	69.87	128229.0	121313.0	126369.0	1650.0	41.0	169.0	0.52	0.04	2.09	0.03	1.79	110999.0	2.14	6000.0	0.12	0.12	10.49	0.79	6212	542997	40893
209160_HY5CNBGXT_TCDM_2_B05_C17_3_2_o_TTGGTA_S34_R1_001	5358900.0	70.0	4550145.0	84.91	70.24	153276.0	142610.0	150955.0	2106.0	61.0	154.0	0.54	0.05	2.16	0.03	1.81	124813.0	2.33	6500.0	0.12	0.15	10.88	1.6	8046	583576	85820
209161_HY5CNBGXT_TCDM_2_C05_X5_66_2_i_GTTACC_S35_R1_001	4952020.0	70.0	4320291.0	87.24	69.89	119288.0	108716.0	117483.0	1624.0	63.0	118.0	0.58	0.05	2.11	0.03	1.69	129093.0	2.61	5127.0	0.1	0.11	8.1	1.84	5445	400977	91086
209162_HY5CNBGXT_TCDM_2_D05_X5_66_1_i_CGCAAC_S36_R1_001	5265597.0	70.0	4533598.0	86.1	70.57	150014.0	137118.0	147732.0	2067.0	78.0	137.0	0.6	0.05	2.08	0.04	1.75	122361.0	2.32	5451.0	0.1	0.11	9.82	1.54	5794	517273	81120
209163_HY5CNBGXT_TCDM_2_E05_C17_3_3_o_TGGCGA_S37_R1_001	4493643.0	70.0	4063803.0	90.43	70.47	89519.0	83977.0	88192.0	1132.0	53.0	142.0	0.5	0.05	2.11	0.03	1.82	91288.0	2.03	5069.0	0.11	0.11	6.9	0.41	4944	310112	18427
209164_HY5CNBGXT_TCDM_2_F05_A03_3_2_o_ACCGTG_S38_R1_001	5095695.0	70.0	4540366.0	89.1	70.3	117302.0	108935.0	115745.0	1440.0	28.0	89.0	0.62	0.05	2.14	0.04	1.69	120193.0	2.36	4027.0	0.08	0.07	7.46	0.93	3567	380150	47391
209165_HY5CNBGXT_TCDM_2_G05_X5_66_3_i_CAACAG_S39_R1_001	4648562.0	71.0	4190839.0	90.15	71.17	96413.0	88930.0	95001.0	1265.0	43.0	104.0	0.57	0.05	2.1	0.03	1.81	100796.0	2.17	4445.0	0.1	0.09	7.09	0.39	4191	330132	18160
209166_HY5CNBGXT_TCDM_2_H05_X5_66_1_o_GATTGT_S40_R1_001	1117808.0	61.0	906151.0	81.06	60.79	16768.0	16058.0	16525.0	204.0	24.0	15.0	0.68	0.03	2.14	0.02	1.76	28941.0	2.59	1954.0	0.17	0.05	15.2	0.92	559	169919	10285
209167_HY5CNBGXT_TCDM_2_A06_X5_66_2_o_CTCTCG_S41_R1_001	5371166.0	69.0	4540026.0	84.53	69.67	129637.0	121871.0	127722.0	1759.0	54.0	102.0	0.6	0.05	2.23	0.03	1.79	139680.0	2.6	7348.0	0.14	0.13	11.19	1.42	6981	600880	76251
209168_HY5CNBGXT_TCDM_2_B06_A27_3_2_i_TGACAC_S42_R1_001	4440802.0	69.0	3621617.0	81.55	69.11	132754.0	122935.0	130840.0	1767.0	67.0	80.0	0.61	0.04	2.24	0.05	1.9	107167.0	2.41	5671.0	0.13	0.09	11.35	4.46	3998	504216	198133
209169_HY5CNBGXT_TCDM_2_C06_C64_3_1_o_AAGACA_S43_R1_001	4950570.0	70.0	4278079.0	86.42	70.2	132101.0	123120.0	130185.0	1752.0	54.0	110.0	0.56	0.04	2.32	0.03	1.65	127479.0	2.58	5719.0	0.12	0.17	9.96	0.76	8419	493238	37637
209170_HY5CNBGXT_TCDM_2_D06_X9_35_2_i_ACAGAT_S44_R1_001	5589923.0	69.0	4794582.0	85.77	69.6	152897.0	141135.0	150774.0	1966.0	68.0	89.0	0.57	0.04	2.04	0.05	1.9	137867.0	2.47	6671.0	0.12	0.12	9.93	1.59	6709	555195	88898
209171_HY5CNBGXT_TCDM_2_E06_C64_3_1_i_TAGGCT_S45_R1_001	5737631.0	69.0	4774020.0	83.21	69.74	162269.0	151467.0	159830.0	2242.0	63.0	134.0	0.58	0.04	2.2	0.03	1.59	135182.0	2.36	6078.0	0.11	0.15	12.2	1.98	8608	700117	113626
209172_HY5CNBGXT_TCDM_2_F06_C14_3_1_o_CTCCAT_S46_R1_001	5717542.0	70.0	5015879.0	87.73	70.26	156398.0	143383.0	154075.0	2158.0	58.0	107.0	0.52	0.04	2.09	0.03	1.81	141626.0	2.48	5383.0	0.09	0.12	8.21	1.37	6862	469455	78338
209173_HY5CNBGXT_TCDM_2_G06_X9_35_2_o_GCATGG_S47_R1_001	5292008.0	70.0	4666723.0	88.18	70.39	144413.0	133022.0	142403.0	1850.0	75.0	85.0	0.57	0.04	2.16	0.04	1.84	137564.0	2.6	5536.0	0.1	0.15	7.96	1.01	7931	420854	53400
209174_HY5CNBGXT_TCDM_2_H06_C64_3_2_o_AATAGC_S48_R1_001	6204077.0	69.0	5424491.0	87.43	69.16	162051.0	153224.0	159561.0	2214.0	75.0	201.0	0.56	0.04	2.33	0.03	1.61	151388.0	2.44	8551.0	0.14	0.17	9.06	0.76	10545	561962	47140
209175_HY5CNBGXT_TCDM_2_A07_X9_35_1_i_GTGCCA_S49_R1_001	4393440.0	69.0	3983108.0	90.66	69.61	72100.0	69213.0	71106.0	881.0	50.0	63.0	0.53	0.04	2.24	0.03	1.81	80627.0	1.84	4115.0	0.09	0.07	7.09	0.24	3080	311950	10560
209176_HY5CNBGXT_TCDM_2_B07_C64_3_3_i_TCGAGG_S50_R1_001	4192507.0	66.0	3473412.0	82.85	65.93	117667.0	114113.0	115956.0	1488.0	65.0	158.0	0.55	0.04	2.59	0.02	1.54	96654.0	2.31	6344.0	0.15	0.15	13.24	1.31	6287	554906	54904
209177_HY5CNBGXT_TCDM_2_C07_C17_3_3_i_CACTAA_S51_R1_001	4779779.0	69.0	4035828.0	84.44	69.33	117295.0	111534.0	115515.0	1537.0	50.0	193.0	0.54	0.04	2.1	0.03	1.8	106669.0	2.23	6448.0	0.13	0.12	12.14	0.94	5735	580176	44923
209178_HY5CNBGXT_TCDM_2_D07_X9_35_1_o_GGTATA_S52_R1_001	1521596.0	66.0	1354586.0	89.02	66.51	36158.0	34803.0	35657.0	452.0	16.0	33.0	0.56	0.04	2.46	0.02	1.68	33962.0	2.23	2024.0	0.13	0.08	8.05	0.48	1217	122502	7304
209179_HY5CNBGXT_TCDM_2_E07_X2_24_3_i_CGCCTG_S53_R1_001	5148103.0	70.0	4088712.0	79.42	70.07	182364.0	170785.0	179378.0	2799.0	78.0	109.0	0.59	0.04	2.08	0.03	1.66	128460.0	2.5	8122.0	0.16	0.11	11.5	6.31	5665	592204	324940
209180_HY5CNBGXT_TCDM_2_F07_X2_24_2_o_AATGAA_S54_R1_001	5229657.0	68.0	3658638.0	69.96	68.23	158649.0	153163.0	156312.0	2124.0	102.0	111.0	0.58	0.04	2.25	0.03	1.74	126522.0	2.42	8913.0	0.17	0.13	22.29	5.03	6799	1165726	263060
209181_HY5CNBGXT_TCDM_2_G07_X2_24_1_o_ACAACG_S55_R1_001	6400173.0	69.0	5186142.0	81.03	69.1	195276.0	184209.0	192186.0	2833.0	116.0	141.0	0.61	0.04	2.1	0.03	1.71	169777.0	2.65	10298.0	0.16	0.11	13.67	2.38	7038	874640	152278
209182_HY5CNBGXT_TCDM_2_H07_X10_39_2_i_ATATCC_S56_R1_001	5514292.0	70.0	4505774.0	81.71	70.29	182827.0	171949.0	180026.0	2526.0	99.0	176.0	0.6	0.04	1.97	0.04	1.88	160307.0	2.91	10814.0	0.2	0.14	12.55	2.5	7718	691859	137820
209183_HY5CNBGXT_TCDM_2_A08_X2_24_3_o_AGTACT_S57_R1_001	8201151.0	70.0	6555527.0	79.93	69.83	272556.0	257057.0	268229.0	4054.0	139.0	134.0	0.61	0.04	2.11	0.03	1.69	204342.0	2.49	12721.0	0.16	0.15	15.47	1.8	12301	1268647	147613
209184_HY5CNBGXT_TCDM_2_B08_X2_24_2_i_ATAAGA_S58_R1_001	4577813.0	70.0	3438991.0	75.12	70.03	159065.0	149466.0	156442.0	2427.0	97.0	99.0	0.61	0.04	2.09	0.03	1.67	131790.0	2.88	8579.0	0.19	0.14	14.79	6.88	6409	677080	314964
209185_HY5CNBGXT_TCDM_2_C08_X10_39_3_o_GGTGAG_S59_R1_001	4989934.0	71.0	4277243.0	85.72	70.85	161186.0	150197.0	158933.0	2104.0	54.0	95.0	0.59	0.04	1.98	0.04	1.83	142805.0	2.86	5473.0	0.11	0.13	10.07	1.12	6482	502088	55843
209186_HY5CNBGXT_TCDM_2_D08_X10_39_2_o_TTCCGC_S60_R1_001	5496172.0	70.0	4796411.0	87.27	70.66	155683.0	144840.0	153458.0	2072.0	61.0	92.0	0.58	0.04	1.97	0.04	1.86	147694.0	2.69	7157.0	0.13	0.11	9.08	0.73	6042	498768	40099
209187_HY5CNBGXT_TCDM_2_E08_X2_24_1_i_GAAGTG_S61_R1_001	5526619.0	71.0	4972280.0	89.97	70.88	176198.0	163122.0	173483.0	2540.0	72.0	103.0	0.54	0.04	2.1	0.03	1.7	161866.0	2.93	6726.0	0.12	0.12	6.36	0.5	6632	351483	27632
209188_HY5CNBGXT_TCDM_2_F08_X10_39_3_i_CAATGC_S62_R1_001	5109707.0	70.0	4294671.0	84.05	70.21	170643.0	158064.0	168275.0	2154.0	102.0	112.0	0.59	0.04	1.94	0.04	1.84	146544.0	2.87	7590.0	0.15	0.09	9.8	3.04	4600	500916	155386
209189_HY5CNBGXT_TCDM_2_G08_X5_36_3_i_ACGTCT_S63_R1_001	5772577.0	69.0	4538194.0	78.62	69.34	124910.0	119307.0	122672.0	2007.0	58.0	173.0	0.61	0.05	2.09	0.03	1.75	168492.0	2.92	10494.0	0.18	0.12	15.05	3.11	6928	868913	179556
209190_HY5CNBGXT_TCDM_2_H08_C64_4_2_i_CAGGAC_S64_R1_001	6528328.0	68.0	5018218.0	76.87	68.31	201623.0	194279.0	197805.0	3588.0	82.0	148.0	0.66	0.04	2.39	0.02	1.69	159887.0	2.45	12217.0	0.19	0.16	17.82	2.52	10443	1163086	164477
209191_HY5CNBGXT_TCDM_2_A09_C64_4_3_i_AAGCTC_S65_R1_001	5629638.0	70.0	4405317.0	78.25	69.7	204407.0	197273.0	201084.0	3091.0	72.0	160.0	0.63	0.04	2.3	0.02	1.6	135900.0	2.41	9092.0	0.16	0.28	16.38	2.51	15765	922244	141321
209192_HY5CNBGXT_TCDM_2_B09_X5_36_2_i_GACGAT_S66_R1_001	6234409.0	69.0	4840386.0	77.64	69.33	180327.0	172479.0	177002.0	2969.0	98.0	258.0	0.62	0.04	2.06	0.03	1.71	174436.0	2.8	12214.0	0.2	0.14	15.9	3.32	8731	991592	207050
209193_HY5CNBGXT_TCDM_2_C09_C64_4_1_i_TCGTTC_S67_R1_001	4561299.0	68.0	2226612.0	48.82	66.95	88586.0	84475.0	86671.0	1791.0	44.0	80.0	0.82	0.04	2.27	0.03	1.59	119070.0	2.61	8082.0	0.18	0.16	24.01	24.23	7298	1095102	1105136
209194_HY5CNBGXT_TCDM_2_D09_C14_4_3_o_CCAATT_S68_R1_001	6641677.0	69.0	5017943.0	75.55	68.98	203383.0	193876.0	200180.0	2955.0	77.0	171.0	0.63	0.04	2.35	0.03	1.64	177854.0	2.68	12882.0	0.19	0.22	16.62	4.73	14616	1104146	314236
209195_HY5CNBGXT_TCDM_2_E09_C64_4_2_o_AGTTGA_S69_R1_001	6476365.0	70.0	5305055.0	81.91	70.13	177370.0	168865.0	174143.0	3000.0	82.0	145.0	0.59	0.05	2.45	0.03	1.65	167166.0	2.58	11474.0	0.18	0.21	13.94	1.18	13598	902663	76409
209196_HY5CNBGXT_TCDM_2_F09_C64_4_1_o_AACCGA_S70_R1_001	4535599.0	68.0	3142308.0	69.28	68.31	136209.0	131515.0	133986.0	2078.0	49.0	96.0	0.64	0.04	2.43	0.03	1.68	124676.0	2.75	9745.0	0.21	0.19	26.25	1.32	8616	1190394	59860
209197_HY5CNBGXT_TCDM_2_G09_X5_36_1_i_CAGATG_S71_R1_001	4590566.0	68.0	3206252.0	69.84	67.07	110002.0	106138.0	108364.0	1434.0	43.0	161.0	0.61	0.04	2.03	0.03	1.78	137844.0	3.0	9470.0	0.21	0.15	24.79	2.01	6885	1137856	92259
209198_HY5CNBGXT_TCDM_2_H09_X5_36_2_o_GTAGAA_S72_R1_001	6340808.0	69.0	4842213.0	76.37	68.76	147418.0	140805.0	144874.0	2299.0	73.0	172.0	0.63	0.05	2.15	0.03	1.74	185048.0	2.92	13607.0	0.21	0.14	18.44	1.92	8878	1169312	121750
209199_HY5CNBGXT_TCDM_2_A10_A03_4_2_i_GACATC_S73_R1_001	5815221.0	69.0	4949352.0	85.11	69.11	167594.0	159119.0	165132.0	2256.0	55.0	151.0	0.62	0.04	2.13	0.03	1.6	137582.0	2.37	8638.0	0.15	0.13	11.26	0.99	7557	654543	57549
209200_HY5CNBGXT_TCDM_2_B10_A03_4_3_o_CGATCT_S74_R1_001	4740591.0	66.0	3577254.0	75.46	65.52	143318.0	138597.0	141247.0	1885.0	60.0	126.0	0.63	0.04	2.31	0.03	1.83	137976.0	2.91	9902.0	0.21	0.13	20.54	0.75	6163	973741	35555
209201_HY5CNBGXT_TCDM_2_C10_A27_4_1_i_CGTCGC_S75_R1_001	4583154.0	68.0	3368891.0	73.51	68.07	155600.0	149812.0	153338.0	2114.0	71.0	77.0	0.67	0.04	2.46	0.03	1.91	117868.0	2.57	11498.0	0.25	0.15	20.16	3.36	6875	924019	154003
209202_HY5CNBGXT_TCDM_2_D10_A27_4_1_o_ATGGCG_S76_R1_001	1376237.0	63.0	924720.0	67.19	60.47	53604.0	51539.0	52687.0	824.0	70.0	23.0	0.72	0.04	2.94	0.02	2.01	44090.0	3.2	3059.0	0.22	0.05	28.61	0.72	688	393770	9910
209203_HY5CNBGXT_TCDM_2_E10_A27_4_2_o_ATTGGT_S77_R1_001	6551709.0	69.0	5102780.0	77.88	68.69	246110.0	233160.0	242537.0	3348.0	99.0	126.0	0.63	0.04	2.6	0.04	1.84	181417.0	2.77	11938.0	0.18	0.11	15.48	3.57	7208	1014420	233946
